Transect,Face Slope,Toe Elevation,Toe Distance,Crest Elevation,Crest Distance
OC219,0.15,5.2,0,5.2,10
OC220,0.15,5.2,0,5.2,10
OC221,0.15,5.2,0,5.2,10
OC222,0.15,5.2,0,5.2,10
OC223,0.15,5.2,0,5.2,10
OC267,0.1,4.3,0,4.3,10
OC268,0.1,4,0,4,10
OC269,0.1,3.7,0,3.7,10
OC270,0.1,3.7,0,3.7,10
OC397,0.22,3,0,6.3,12
OC398,0.22,3,0,6.3,12
OC399,0.22,3,0,6.3,12
OC400,0.22,3,0,6.3,12
OC401,0.22,3,0,6.3,12
OC402,0.22,3,0,6.3,12
OC403,0.15,5,0,5,10
OC404,0.15,5,0,5,10
OC405,0.15,5,0,5,10
OC406,0.15,5,0,5,10
OC407,0.15,5,0,5,10
OC408,0.15,5,0,5,10
OC409,0.15,5,0,5,10
OC410,0.15,5,0,5,10
OC411,0.15,5,0,5,10
OC412,0.15,5,0,5,10
OC413,0.15,5,0,5,10
OC414,0.15,5,0,5,10
OC415,0.15,5,0,5,10
OC416,0.15,5,0,5,10
OC417,0.15,5,0,5,10
OC418,0.15,5,0,5,10
OC419,0.15,5,0,5,10
OC420,0.15,5,0,5,10
OC421,0.15,5,0,5,10
OC422,0.15,5,0,5,10
OC423,0.15,5,0,5,10
OC424,0.15,5,0,5,10
OC425,0.15,5,0,5,10
SC76,0.1,3.4,20,5.6,10
SC77,0.1,3.4,20,5.6,10
SC78,0.1,3.4,20,5,10
SC79,0.1,3.4,20,5,10
SC80,0.1,3.4,20,5,10
SC81,0.1,3.4,20,5,10
SC82,0.1,3.4,20,5,10
SC83,0.1,3.4,20,5,10
SC84,0.1,3.4,20,5,10
SC102,0.1,3.4,20,3.8,10
SC103,0.1,3.4,20,6,10
SC120,0.1,3.4,20,3.4,10
SC121,0.1,3.4,20,3.4,10
SC122,0.1,3.4,20,3.4,10
SC123,0.1,3.4,20,3.4,10
SC124,0.1,3.4,60,6,10
SC125,0.1,3.4,60,6,10
SC128,0.1,5.8,0,5.8,10
SC129,0.1,5.8,0,5.8,10
SC130,0.1,5.8,0,5.8,10
SC131,0.1,3.4,20,5.1,20
SC132,0.1,5.8,0,5.8,10
SC134,0.1,3.8,20,4.8,20
SC135,0.1,3.8,20,4.8,20
SC136,0.1,3.8,20,4.8,20
SC137,0.1,3.8,20,4.8,20
SC138,0.1,3.8,20,4.8,20
SC139,0.1,3.8,20,4.8,20
SC140,0.1,3.8,20,4.8,20
SC141,0.1,3.8,20,4.8,20
SC142,0.1,3.8,20,4.8,20
SC143,0.1,4,20,8,20
